id,Concentration,std_replicate,Group,NF,Dilution,MGDG_32-2,MGDG_36-5,MGDG_36-4,MGDG_34-3,MGDG_34-1,MGDG_34-4,SQDG_34-2,DGDG_34-4,SQDG_32-0,SQDG_34-1,DGDG_44-4,DGDG_40-3 va,MGDG_44-4,DGDG_34-3 va,DGDG_36-3,MGDG_44-3,DGDG_38-3,DGDG_32-0,MGDG_44-2,DGDG_34-2,IS
S2R3,0.00,0.00,Control,1.00,1.00,154.7533632,3593.911035,628.0296888,209.5788291,850.165187,1307.977682,187.2690456,794.9024619,724.5996499,28.04177299,13.23468513,106.7502675,870.1624264,87.53840161,34.22783046,759.5018317,74.50716848,508.496838,396.2405687,77.92833724,1
S4R1,0.00,0.00,Control,1.00,1.00,567.3546588,24234.98342,3153.399139,351.265818,2787.309163,3313.447328,676.2005961,2509.785644,2455.155279,97.35200524,0,281.3448335,1678.554264,549.4466765,91.95476782,1604.101908,226.1166207,968.8597366,746.0701187,225.5559434,1
S4R2,0.00,0.00,Control,1.00,1.00,509.1191329,24285.88265,2952.188283,297.3755493,3591.711775,3468.562693,741.5099585,2457.663676,2933.258906,390.3479113,53.34996819,349.3996544,1427.938001,513.4213642,22.75453983,3174.307359,352.143742,1978.978925,1067.826828,299.3483739,1
S4R3,0.00,0.00,Control,1.00,1.00,390.574717,18125.33074,2824.215194,488.7041323,3026.320932,3401.715401,686.8783638,2003.661054,2918.452938,269.446821,22.50413604,413.2320902,1563.595761,747.5678583,73.42782979,2793.854303,206.7094767,2041.355851,976.7116743,498.2679782,1
S6R1,0.00,0.00,Control,1.00,1.00,1926.154474,9228.144066,3701.748028,276.4745591,3941.343908,3861.798175,926.1177421,1902.939989,2636.782697,193.4611991,0,145.350636,772.7105731,393.3780306,177.5732287,447.8622999,115.3326426,465.878777,183.7863736,16.76360632,1
S6R2,0.00,0.00,Control,1.00,1.00,6743.486711,17198.1501,5059.354315,456.3116762,4898.326829,3461.967115,1396.080218,2680.529338,3986.242704,426.4265671,17.64067665,138.6908008,903.4858118,251.295181,206.6037896,1184.226684,120.6495211,703.0583483,417.8738031,77.37020036,1
S6R3,0.00,0.00,Control,1.00,1.00,6862.985975,13224.84018,5127.813235,392.4678474,5295.669375,3372.819413,1049.697566,2014.80527,3742.276479,377.9013326,0,122.1523038,966.4689889,218.875662,35.37191779,921.817763,178.0650703,505.6541422,397.4091855,0,1
S8R1,0.00,0.00,Control,1.00,1.00,36.28603973,429.665856,164.7809637,733.5021606,184.7673187,220.6261375,10.40964139,207.0674464,127.4531585,10.06486476,0,99.52511799,124.6854639,31.11854942,8.103432832,37.43455849,0.551285496,45.63698317,41.90661029,0,1
S8R2,0.00,0.00,Control,1.00,1.00,152.4502942,365.5179339,59.98497714,602.4726183,256.8388116,485.2287376,13.89540926,285.3428802,81.05950596,21.79392081,0,95.92616077,72.1741844,16.08230452,26.09335571,41.6805341,12.49908608,17.21780959,0,21.98211025,1
S8R3,0.00,0.00,Control,1.00,1.00,81.45125566,258.589323,54.762392,517.6151861,172.049571,490.8317714,11.39077962,140.891111,80.27950937,0,0,73.34867134,43.48158899,62.79160052,21.30007326,46.62474633,19.90778535,42.10936791,21.9725296,17.44308941,1
PBQC 1_neg,0.00,0.00,PBQC,1.00,1.00,987.4780418,8817.622697,1768.635364,351.8516139,2785.974208,4074.656833,934.5725275,1485.70274,2129.824621,218.4839564,47.05727785,148.856233,1128.535376,324.0356021,116.4522316,780.1994654,202.3821909,737.9198145,442.0532262,181.9144834,1
PBQC 2_neg,0.00,0.00,PBQC,1.00,1.00,1736.120721,13498.70753,2806.698263,632.1479316,3082.080658,3957.514773,847.8429473,2408.03065,2893.113123,258.9739907,41.86697946,266.8673397,1573.307404,574.5516003,176.5097521,1159.023369,127.8021857,870.7592087,587.9262086,290.3532803,1
PBQC 3_neg,0.00,0.00,PBQC,1.00,1.00,1402.57158,14286.02282,2769.756137,405.5713973,3668.478434,5124.285634,939.8800726,2058.406749,2494.102557,333.6928695,38.56601202,239.5767678,1220.231779,499.3672554,175.4340778,1346.366782,125.8530239,1178.457513,485.6563822,310.6965046,1
PBQC 4_neg,0.00,0.00,PBQC,1.00,1.00,1266.027593,13537.08456,2647.036004,363.2936755,3397.028331,5076.909274,863.4633544,2476.758828,3086.890549,202.340018,58.94954613,377.8819544,1412.985688,264.5612294,121.0680737,1336.224943,199.5775251,1232.687822,476.8484246,187.9821597,1
PBQC 5_neg,0.00,0.00,PBQC,1.00,1.00,1383.914188,12228.73872,2784.26721,367.9975481,3453.355365,4717.638217,648.6793779,2046.338366,2793.540297,243.6796908,31.92341562,240.418602,878.1024723,283.6358691,84.71609093,1518.34358,218.0402239,964.8186107,434.4780136,185.9241945,1
